ACX, ACY, ACZ, GYX, GYY, GYZ
1272, -548, 14488, 1442, 199, -156
1288, -564, 14604, 1439, 201, -174
1212, -688, 14848, 1431, 210, -128
1196, -640, 14768, 1437, 217, -168
1168, -616, 14628, 1434, 192, -147
1268, -656, 14656, 1451, 216, -161
1248, -696, 14688, 1422, 201, -157
1212, -624, 14572, 1440, 204, -101
1168, -696, 14732, 1444, 200, -155
1228, -744, 14440, 1443, 218, -129
1148, -700, 14508, 1441, 206, -175
1276, -700, 14688, 1448, 199, -155
1184, -644, 14556, 1428, 212, -116
1228, -648, 14728, 1435, 219, -131
1200, -608, 14616, 1441, 208, -138
1184, -628, 14580, 1441, 230, -156
1180, -684, 14660, 1419, 190, -142
1224, -680, 14688, 1456, 206, -114
1236, -676, 14708, 1448, 208, -161
1204, -616, 14556, 1448, 206, -109
1284, -596, 14696, 1436, 217, -60
1276, -628, 14600, 1434, 210, -149
1244, -688, 14624, 1436, 210, -111
1192, -664, 14484, 1430, 194, -142
1248, -672, 14784, 1433, 212, -164
1216, -648, 14640, 1447, 213, -147
1236, -628, 14548, 1422, 203, -146
1284, -768, 14572, 1463, 240, -177
1292, -752, 14632, 1447, 204, -111
1248, -608, 14636, 1432, 219, -184
1324, -624, 14624, 1444, 215, -185
1248, -776, 14624, 1427, 178, -151
1584, -408, 14732, 1452, -18, 483
684, -632, 15116, 1236, 138, 194
1892, -1504, 16020, 1962, 2263, -5039
2164, -1072, 9364, -1766, -1185, 488
1436, -3860, 13664, 2813, 1456, -1615
-268, -24, 14872, -6667, 198, 1252
2108, 1296, 14460, 5386, -468, 1039
804, -3640, 14580, -394, 592, -2102
-1092, -324, 12912, -1136, 2596, 139
952, 1372, 13724, 6048, -406, -6072
424, 444, 14948, 122, 13, -330
1196, -96, 15280, -261, -1155, 258
1256, -852, 14504, 1438, 487, -321
1304, -672, 14632, 1427, 193, -118
1224, -652, 14628, 1437, 205, -114
1164, -724, 14596, 1441, 203, -97
1300, -548, 14600, 1431, 198, -169
1260, -756, 14648, 1440, 191, -121
1256, -684, 14620, 1447, 222, -139
1224, -676, 14576, 1434, 195, -119
1264, -640, 14528, 1437, 215, -99
1260, -712, 14540, 1430, 203, -140
1236, -676, 14656, 1438, 196, -166
1140, -632, 14664, 1438, 207, -149
1276, -696, 14760, 1446, 251, -119
1212, -648, 14656, 1411, 252, -164
816, -744, 14708, 1371, -106, -155
1888, 256, 15260, 665, 876, 1292
