ACX,ACY,ACZ,GYX,GYY,GYZ,PRE,ALT,TEMP,
-576,92,15120,-375,-553,-84,999.60,48.06,22.53,
-576,16,15196,-370,-518,-61,999.63,47.81,22.53,
-596,112,15052,-364,-537,-65,999.62,47.94,22.53,
-632,4,15036,-369,-530,-100,1002.61,22.71,23.53,
-720,96,15156,-356,-525,-83,999.57,48.31,22.53,
-676,68,15072,-374,-544,-73,999.57,48.31,22.53,
-632,52,15052,-345,-532,-58,1002.60,22.83,23.53,
-596,128,15088,-382,-544,-88,999.54,48.56,22.53,
-660,-28,15076,-377,-544,-79,999.53,48.69,22.53,
-676,76,15216,-373,-511,-68,999.62,47.94,22.53,
-644,44,15212,-394,-520,-89,999.63,47.81,22.53,
-632,108,15144,-369,-544,-67,999.57,48.31,22.53,
-656,132,15028,-358,-549,-77,999.57,48.31,22.53,
-628,36,15200,-373,-551,-48,999.54,48.56,22.53,
-576,16,15148,-351,-554,-65,999.60,48.06,22.53,
-604,144,15120,-355,-520,-70,999.59,48.19,22.53,
-684,60,15064,-362,-559,-80,999.59,48.19,22.53,
-668,4,15128,-372,-550,-67,999.66,47.56,22.53,
-536,60,14992,-356,-560,-73,999.57,48.31,22.53,
-636,16,15052,-385,-530,-69,1002.43,24.21,23.53,
-612,60,15180,-366,-534,-81,1002.48,23.83,23.53,
-764,240,15184,-387,-554,-48,999.59,48.19,22.53,
-612,88,15152,-387,-544,-90,999.60,48.06,22.53,
-640,140,15200,-364,-515,-76,999.54,48.56,22.53,
-612,180,15144,-370,-546,-83,999.50,48.94,22.53,
-596,76,15076,-375,-531,-78,999.50,48.94,22.53,
-516,176,15084,-381,-538,-70,1002.49,23.71,23.53,
-608,124,14996,-372,-521,-62,999.54,48.56,22.53,
-728,80,15080,-393,-516,-87,1002.49,23.71,23.53,
-584,76,15100,-366,-534,-63,999.51,48.81,22.53,
-568,140,15160,-367,-538,-86,999.53,48.69,22.53,
-664,76,15112,-341,-547,-63,999.60,48.06,22.53,
-632,88,15144,-372,-528,-66,999.54,48.56,22.53,
-656,48,15180,-381,-551,-85,999.50,48.94,22.53,
-532,24,15100,-373,-544,-96,999.48,49.06,22.53,
-676,64,15188,-394,-535,-91,999.57,48.31,22.53,
-688,116,15248,-375,-514,-67,999.51,48.81,22.53,
-592,84,15048,-364,-524,-88,999.54,48.56,22.53,
-536,12,15140,-363,-534,-60,999.57,48.31,22.53,
-644,144,15148,-377,-542,-61,999.50,48.94,22.53,
-796,80,15104,-349,-531,-75,999.54,48.56,22.53,
-660,96,15256,-371,-546,-81,999.54,48.56,22.53,
-608,56,15160,-385,-530,-80,999.51,48.81,22.53,
-572,44,15216,-365,-537,-62,999.50,48.94,22.53,
-796,4,15052,-363,-534,-54,999.62,47.94,22.53,
-664,64,15208,-371,-555,-59,999.60,48.06,22.53,
-684,124,15128,-381,-536,-88,999.56,48.44,22.53,
-688,4,15228,-364,-543,-56,999.59,48.19,22.53,
-700,20,15080,-347,-562,-42,999.60,48.06,22.53,
-516,168,15080,-383,-544,-82,999.57,48.31,22.53,
-724,116,15016,-364,-540,-72,1002.51,23.58,23.53,
-696,52,15052,-348,-534,-59,1002.46,23.96,23.53,
-524,92,15088,-368,-544,-67,999.51,48.81,22.53,
-592,80,15172,-376,-560,-65,999.51,48.81,22.53,
